A1BG-AS1__chr19	NR_015380__chr19__1
CCDC88B__chr11	NM_032251__chr11__1
CCDC88C__chr14	NM_001080414__chr14__1
CCDC89__chr11	NM_152723__chr11__1
CCDC8__chr19	NM_032040__chr19__1
CCDC90B__chr11	NM_001286116__chr11__1|NM_001286117__chr11__1|NM_001286118__chr11__1|NM_001286119__chr11__1|NM_001286120__chr11__1|NM_021825__chr11__1
CCDC91__chr12	NM_018318__chr12__1
CCDC92__chr12	NM_001304959__chr12__1|NM_001304960__chr12__1|NM_001304957__chr12__1|NM_001304958__chr12__1|NM_001304961__chr12__1|NM_025140__chr12__1
CCDC92__chr12_KI270834v1_alt	NM_001304961__chr12_KI270834v1_alt__1|NM_001304957__chr12_KI270834v1_alt__1|NM_001304959__chr12_KI270834v1_alt__1|NM_025140__chr12_KI270834v1_alt__1|NM_001304960__chr12_KI270834v1_alt__1|NM_001304958__chr12_KI270834v1_alt__1
CCDC93__chr2	NM_019044__chr2__1
CCDC94__chr19	NM_018074__chr19__1
CCDC96__chr4	NM_153376__chr4__1
CCDC97__chr19	NM_052848__chr19__1
CCDC9__chr19	NM_015603__chr19__1
CCEPR__chr10	NR_131782__chr10__1
CCER1__chr12	NR_130711__chr12__1|NM_152638__chr12__1
CCER2__chr19	NM_001243212__chr19__1
CCHCR1__chr6	NM_001105563__chr6__1|NM_001105564__chr6__1|NM_019052__chr6__1
CCHCR1__chr6_GL000251v2_alt	NM_001105563__chr6_GL000251v2_alt__1|NM_001105564__chr6_GL000251v2_alt__1|NM_019052__chr6_GL000251v2_alt__1
CCHCR1__chr6_GL000252v2_alt	NM_001105563__chr6_GL000252v2_alt__1|NM_001105564__chr6_GL000252v2_alt__1|NM_019052__chr6_GL000252v2_alt__1
CCHCR1__chr6_GL000253v2_alt	NM_001105563__chr6_GL000253v2_alt__1|NM_001105564__chr6_GL000253v2_alt__1|NM_019052__chr6_GL000253v2_alt__1
CCHCR1__chr6_GL000254v2_alt	NM_001105563__chr6_GL000254v2_alt__1|NM_001105564__chr6_GL000254v2_alt__1|NM_019052__chr6_GL000254v2_alt__1
CCHCR1__chr6_GL000255v2_alt	NM_001105563__chr6_GL000255v2_alt__1|NM_001105564__chr6_GL000255v2_alt__1|NM_019052__chr6_GL000255v2_alt__1
CCIN__chr9	NM_005893__chr9__1
CCKAR__chr4	NM_000730__chr4__1
CCKBR__chr11	NM_001318029__chr11__1|NM_176875__chr11__1
CCK__chr3	NM_001174138__chr3__1|NM_000729__chr3__1
CCL11__chr17	NM_002986__chr17__1
CCL13__chr17	NM_005408__chr17__1
CCL14__chr17	NM_032962__chr17__1|NM_032963__chr17__1
CCL14__chr17_KI270857v1_alt	NM_032962__chr17_KI270857v1_alt__1|NM_032963__chr17_KI270857v1_alt__1
CCL15-CCL14__chr17	NR_027921__chr17__1|NR_027922__chr17__1
CCL15-CCL14__chr17_KI270857v1_alt	NR_027921__chr17_KI270857v1_alt__1|NR_027922__chr17_KI270857v1_alt__1
CCL15__chr17	NM_032965__chr17__1
CCL15__chr17_KI270857v1_alt	NM_032965__chr17_KI270857v1_alt__1
CCL16__chr17	NM_004590__chr17__1
CCL16__chr17_KI270857v1_alt	NM_004590__chr17_KI270857v1_alt__1
CCL17__chr16	NM_002987__chr16__1
CCL18__chr17	NM_002988__chr17__1
CCL18__chr17_KI270857v1_alt	NM_002988__chr17_KI270857v1_alt__1
CCL18__chr17_KI270909v1_alt	NM_002988__chr17_KI270909v1_alt__1
CCL19__chr9	NM_006274__chr9__1
CCL1__chr17	NM_002981__chr17__1
CCL20__chr2	NM_001130046__chr2__1|NM_004591__chr2__1
CCL21__chr9	NM_002989__chr9__1
CCL22__chr16	NM_002990__chr16__1
CCL23__chr17	NM_005064__chr17__1|NM_145898__chr17__1
CCL23__chr17_KI270857v1_alt	NM_005064__chr17_KI270857v1_alt__1|NM_145898__chr17_KI270857v1_alt__1
CCL24__chr7	NM_002991__chr7__1
CCL25__chr19	NM_001201359__chr19__1|NM_005624__chr19__1
CCL26__chr7	NM_006072__chr7__1
CCL27__chr9	NM_006664__chr9__1
CCL28__chr5	NM_001301873__chr5__1|NM_001301874__chr5__1|NM_001301875__chr5__1|NM_148672__chr5__1
CCL2__chr17	NM_002982__chr17__1
CCL3L1__chr17	NR_111964__chr17__1|NM_021006__chr17__1
CCL3L1__chr17_KI270857v1_alt	NR_111964__chr17_KI270857v1_alt__1|NM_021006__chr17_KI270857v1_alt__1
CCL3L1__chr17_KI270909v1_alt	NM_021006__chr17_KI270909v1_alt__1|NM_021006__chr17_KI270909v1_alt__2|NM_021006__chr17_KI270909v1_alt__3|NR_111964__chr17_KI270909v1_alt__1
CCL3L3__chr17	NM_001001437__chr17__1
CCL3L3__chr17_KI270857v1_alt	NM_001001437__chr17_KI270857v1_alt__1
CCL3L3__chr17_KI270909v1_alt	NM_001001437__chr17_KI270909v1_alt__1|NM_001001437__chr17_KI270909v1_alt__2|NM_001001437__chr17_KI270909v1_alt__3
CCL3__chr17	NM_002983__chr17__1
CCL3__chr17_KI270857v1_alt	NM_002983__chr17_KI270857v1_alt__1
CCL3__chr17_KI270909v1_alt	NM_002983__chr17_KI270909v1_alt__1|NM_002983__chr17_KI270909v1_alt__2
CCL4L1__chr17	NM_207007__chr17__1|NR_111969__chr17__1|NM_207007__chr17__2|NR_111969__chr17__2
CCL4L1__chr17_KI270857v1_alt	NM_207007__chr17_KI270857v1_alt__1|NR_111969__chr17_KI270857v1_alt__1|NM_207007__chr17_KI270857v1_alt__2|NR_111969__chr17_KI270857v1_alt__2
CCL4L1__chr17_KI270909v1_alt	NM_207007__chr17_KI270909v1_alt__1|NR_111969__chr17_KI270909v1_alt__1|NM_207007__chr17_KI270909v1_alt__2|NR_111969__chr17_KI270909v1_alt__2
CCL4L2__chr17	NM_001291468__chr17__1|NM_001291469__chr17__1|NM_001291470__chr17__1|NM_001291471__chr17__1|NM_001291472__chr17__1|NM_001291473__chr17__1|NM_001291474__chr17__1|NM_001291475__chr17__1|NR_111970__chr17__1|NM_001291468__chr17__2|NM_001291469__chr17__2|NM_001291470__chr17__2|NM_001291471__chr17__2|NM_001291472__chr17__2|NM_001291473__chr17__2|NM_001291474__chr17__2|NM_001291475__chr17__2|NR_111970__chr17__2
CCL4L2__chr17_KI270857v1_alt	NM_001291468__chr17_KI270857v1_alt__1|NM_001291469__chr17_KI270857v1_alt__1|NM_001291470__chr17_KI270857v1_alt__1|NM_001291471__chr17_KI270857v1_alt__1|NM_001291472__chr17_KI270857v1_alt__1|NM_001291473__chr17_KI270857v1_alt__1|NM_001291474__chr17_KI270857v1_alt__1|NM_001291475__chr17_KI270857v1_alt__1|NR_111970__chr17_KI270857v1_alt__1|NM_001291468__chr17_KI270857v1_alt__2|NM_001291469__chr17_KI270857v1_alt__2|NM_001291470__chr17_KI270857v1_alt__2|NM_001291471__chr17_KI270857v1_alt__2|NM_001291472__chr17_KI270857v1_alt__2|NM_001291473__chr17_KI270857v1_alt__2|NM_001291474__chr17_KI270857v1_alt__2|NM_001291475__chr17_KI270857v1_alt__2|NR_111970__chr17_KI270857v1_alt__2
CCL4L2__chr17_KI270909v1_alt	NM_001291469__chr17_KI270909v1_alt__1|NM_001291470__chr17_KI270909v1_alt__1|NM_001291471__chr17_KI270909v1_alt__1|NM_001291472__chr17_KI270909v1_alt__1|NM_001291473__chr17_KI270909v1_alt__1|NM_001291474__chr17_KI270909v1_alt__1|NM_001291475__chr17_KI270909v1_alt__1|NM_001291468__chr17_KI270909v1_alt__1|NM_001291469__chr17_KI270909v1_alt__2|NM_001291470__chr17_KI270909v1_alt__2|NM_001291471__chr17_KI270909v1_alt__2|NM_001291472__chr17_KI270909v1_alt__2|NM_001291473__chr17_KI270909v1_alt__2|NM_001291474__chr17_KI270909v1_alt__2|NM_001291475__chr17_KI270909v1_alt__2|NR_111970__chr17_KI270909v1_alt__1|NM_001291468__chr17_KI270909v1_alt__2|NM_001291473__chr17_KI270909v1_alt__3|NR_111970__chr17_KI270909v1_alt__2
CCL4__chr17	NM_002984__chr17__1
CCL4__chr17_KI270857v1_alt	NM_002984__chr17_KI270857v1_alt__1
CCL4__chr17_KI270909v1_alt	NM_002984__chr17_KI270909v1_alt__1
CCL5__chr17	NM_001278736__chr17__1|NM_002985__chr17__1
CCL5__chr17_KI270857v1_alt	NM_001278736__chr17_KI270857v1_alt__1|NM_002985__chr17_KI270857v1_alt__1
CCL7__chr17	NM_006273__chr17__1
CCL8__chr17	NM_005623__chr17__1
CCM2L__chr20	NM_080625__chr20__1
CCM2__chr7	NR_030770__chr7__1|NM_001167934__chr7__1|NM_001167935__chr7__1|NM_031443__chr7__1|NM_001029835__chr7__1
CCNA1__chr13	NM_001111046__chr13__1|NM_001111047__chr13__1|NM_001111045__chr13__1|NM_003914__chr13__1
CCNA2__chr4	NM_001237__chr4__1
CCNB1IP1__chr14	NM_021178__chr14__1|NM_182849__chr14__1|NM_182852__chr14__1
CCNB1__chr5	NM_031966__chr5__1
CCNB2__chr15	NM_004701__chr15__1
CCNB3__chrX	NM_033031__chrX__1|NM_033670__chrX__1
CCNC__chr6	NM_001013399__chr6__1|NM_005190__chr6__1
CCND1__chr11	NM_053056__chr11__1
CCND2-AS1__chr12	NR_125790__chr12__1
CCND2__chr12	NM_001759__chr12__1
CCND3__chr6	NM_001136017__chr6__1|NM_001136126__chr6__1|NM_001287434__chr6__1|NM_001136125__chr6__1|NM_001287427__chr6__1|NM_001760__chr6__1
CCNDBP1__chr15	NM_012142__chr15__1|NR_027513__chr15__1|NR_027514__chr15__1|NR_045998__chr15__1|NR_045999__chr15__1
CCNE1__chr19	NM_001238__chr19__1|NM_001322259__chr19__1|NM_001322261__chr19__1|NM_001322262__chr19__1
CCNE2__chr8	NM_057749__chr8__1
CCNF__chr16	NM_001761__chr16__1|NM_001323538__chr16__1
CCNG1__chr5	NM_004060__chr5__1|NM_199246__chr5__1
CCNG2__chr4	NM_004354__chr4__1
CCNH__chr5	NM_001199189__chr5__1|NM_001239__chr5__1
CCNI2__chr5	NM_001039780__chr5__1|NM_001287252__chr5__1|NM_001287253__chr5__1
CCNI__chr4	NM_006835__chr4__1
CCNJL__chr5	NM_001308173__chr5__1|NM_024565__chr5__1|NR_131769__chr5__1
CCNJ__chr10	NM_001134375__chr10__1|NM_001134376__chr10__1|NM_019084__chr10__1
CCNK__chr14	NM_001099402__chr14__1
CCNL1__chr3	NM_001308185__chr3__1|NM_020307__chr3__1
CCNL2__chr1	NM_001320153__chr1__1|NM_001320155__chr1__1|NM_030937__chr1__1|NR_135154__chr1__1|NM_001039577__chr1__1
CCNO__chr5	NR_125348__chr5__1|NM_021147__chr5__1|NR_125346__chr5__1|NR_125347__chr5__1
CCNT1__chr12	NM_001240__chr12__1|NM_001277842__chr12__1
CCNT2-AS1__chr2	NR_036549__chr2__1
CCNT2__chr2	NM_001241__chr2__1|NM_001320748__chr2__1|NM_001320749__chr2__1|NM_058241__chr2__1|NR_037649__chr2__1|NR_135468__chr2__1
CCNYL1__chr2	NM_001142300__chr2__1|NM_152523__chr2__1
CCNYL2__chr10	NR_103829__chr10__1
CCNY__chr10	NM_181698__chr10__1|NM_001282852__chr10__1|NM_001282853__chr10__1|NM_001282854__chr10__1|NM_145012__chr10__1
CCP110__chr16	NM_001323571__chr16__1|NM_001199022__chr16__1|NM_001323569__chr16__1|NM_001323570__chr16__1|NM_001323572__chr16__1|NM_001323576__chr16__1|NM_001323577__chr16__1|NM_014711__chr16__1
CCPG1__chr15	NM_004748__chr15__1|NM_001204450__chr15__1|NM_001204451__chr15__1|NM_020739__chr15__1
CCR10__chr17	NM_016602__chr17__1
CCR1__chr3	NM_001295__chr3__1
CCR2__chr3	NM_001123396__chr3__1|NM_001123041__chr3__1
CCR3__chr3	NM_001164680__chr3__1|NM_001837__chr3__1|NM_178328__chr3__1|NM_178329__chr3__1
CCR4__chr3	NM_005508__chr3__1
CCR5__chr3	NM_000579__chr3__1|NM_001100168__chr3__1
CCR6__chr6	NM_004367__chr6__1|NM_031409__chr6__1
CCR7__chr17	NM_001301718__chr17__1|NM_001301716__chr17__1|NM_001301717__chr17__1|NM_001301714__chr17__1|NM_001838__chr17__1
CCR8__chr3	NM_005201__chr3__1
CCR9__chr3	NM_001256369__chr3__1|NM_006641__chr3__1|NM_031200__chr3__1
CCRL2__chr3	NM_003965__chr3__1|NM_001130910__chr3__1
CCSAP__chr1	NM_145257__chr1__1
CCSER1__chr4	NM_001145065__chr4__1|NM_207491__chr4__1
CCSER2__chr10	NM_001284240__chr10__1|NM_018999__chr10__1|NM_001284241__chr10__1|NM_001284243__chr10__1|NM_001284242__chr10__1
CCS__chr11	NM_005125__chr11__1
CCT2__chr12	NM_006431__chr12__1|NM_001198842__chr12__1
CCT3__chr1	NM_001008800__chr1__1|NM_005998__chr1__1|NR_036564__chr1__1|NR_036565__chr1__1
CCT4__chr2	NM_001256721__chr2__1|NM_006430__chr2__1
CCT5__chr5	NM_001306153__chr5__1|NM_001306154__chr5__1|NM_012073__chr5__1|NM_001306155__chr5__1|NM_001306156__chr5__1
CCT6A__chr7	NM_001009186__chr7__1|NM_001762__chr7__1
CCT6B__chr17	NM_001193529__chr17__1|NM_001193530__chr17__1|NM_006584__chr17__1
CCT6P1__chr7	NR_003110__chr7__1
CCT6P3__chr7	NR_033416__chr7__1
CCT7__chr2	NM_001009570__chr2__1|NM_001166284__chr2__1|NM_001166285__chr2__1|NM_006429__chr2__1|NR_029402__chr2__1|NR_029403__chr2__1
CCT8L2__chr22	NM_014406__chr22__1
CCT8__chr21	NM_001282907__chr21__1|NM_001282908__chr21__1|NM_001282909__chr21__1|NM_006585__chr21__1
CCZ1B__chr7	NM_198097__chr7__1
CCZ1__chr7	NM_015622__chr7__1
CD101__chr1	NM_001256106__chr1__1|NM_001256109__chr1__1|NM_001256111__chr1__1|NM_004258__chr1__1
CD109__chr6	NM_001159587__chr6__1|NM_001159588__chr6__1|NM_133493__chr6__1
CD14__chr5	NM_000591__chr5__1|NM_001040021__chr5__1|NM_001174104__chr5__1|NM_001174105__chr5__1
CD151__chr11	NM_001039490__chr11__1|NM_004357__chr11__1|NM_139029__chr11__1|NM_139030__chr11__1
CD160__chr1	NM_007053__chr1__1|NR_103845__chr1__1
CD163L1__chr12	NM_001297650__chr12__1|NM_174941__chr12__1
CD163__chr12	NM_004244__chr12__1|NM_203416__chr12__1
CD164L2__chr1	NM_207397__chr1__1
CD164__chr6	NM_001142401__chr6__1|NM_001142402__chr6__1|NM_001142403__chr6__1|NM_001142404__chr6__1|NM_006016__chr6__1
CD177__chr19	NM_020406__chr19__1
CD180__chr5	NM_005582__chr5__1
CD19__chr16	NM_001178098__chr16__1|NM_001770__chr16__1
CD1A__chr1	NM_001320652__chr1__1|NM_001763__chr1__1
CD1B__chr1	NM_001764__chr1__1
CD1C__chr1	NM_001765__chr1__1
CD1D__chr1	NM_001319145__chr1__1|NM_001766__chr1__1
CD1E__chr1	NM_001042583__chr1__1|NM_001042584__chr1__1|NM_001042585__chr1__1|NM_001042586__chr1__1|NM_001042587__chr1__1|NM_001185107__chr1__1|NM_001185108__chr1__1|NM_001185110__chr1__1|NM_001185112__chr1__1|NM_001185113__chr1__1|NM_001185114__chr1__1|NM_001185115__chr1__1|NM_030893__chr1__1
CD200R1L__chr3	NM_001008784__chr3__1|NM_001199215__chr3__1
CD200R1__chr3	NM_138806__chr3__1|NM_170780__chr3__1|NM_138939__chr3__1|NM_138940__chr3__1
CD200__chr3	NM_001004196__chr3__1|NM_001318826__chr3__1|NM_001318828__chr3__1|NM_001318830__chr3__1|NM_005944__chr3__1
CD207__chr2	NM_015717__chr2__1
CD209__chr19	NM_001144893__chr19__1|NM_001144894__chr19__1|NM_001144895__chr19__1|NM_001144896__chr19__1|NM_001144897__chr19__1|NM_001144899__chr19__1|NM_021155__chr19__1|NR_026692__chr19__1
CD226__chr18	NM_001303618__chr18__1|NM_001303619__chr18__1|NM_006566__chr18__1
CD22__chr19	NM_001278417__chr19__1|NM_001185099__chr19__1|NM_001185100__chr19__1|NM_001185101__chr19__1|NM_001771__chr19__1
CD244__chr1	NM_001166663__chr1__1|NM_001166664__chr1__1|NM_016382__chr1__1
CD247__chr1	NM_000734__chr1__1|NM_198053__chr1__1
CD248__chr11	NM_020404__chr11__1
CD24__chr6	NM_001291739__chr6__1|NM_013230__chr6__1|NR_117090__chr6__1|NM_001291737__chr6__1|NR_117089__chr6__1|NM_001291738__chr6__1
CD27-AS1__chr12	NR_015382__chr12__1
CD274__chr9	NM_001314029__chr9__1|NM_001267706__chr9__1|NM_014143__chr9__1|NR_052005__chr9__1
CD276__chr15	NM_001024736__chr15__1|NM_025240__chr15__1
CD27__chr12	NM_001242__chr12__1
CD28__chr2	NM_001243077__chr2__1|NM_001243078__chr2__1|NM_006139__chr2__1
CD2AP__chr6	NM_012120__chr6__1
CD2BP2__chr16	NM_001243646__chr16__1|NM_006110__chr16__1
CD2__chr1	NM_001767__chr1__1
CD300A__chr17	NM_001256841__chr17__1|NM_007261__chr17__1
CD300C__chr17	NM_006678__chr17__1
CD300E__chr17	NM_181449__chr17__1
CD300LB__chr17	NM_174892__chr17__1
CD300LD__chr17	NM_001115152__chr17__1
CD300LF__chr17	NM_001289082__chr17__1|NM_001289083__chr17__1|NM_001289084__chr17__1|NM_001289085__chr17__1|NM_001289086__chr17__1|NM_001289087__chr17__1|NM_139018__chr17__1|NR_110298__chr17__1
CD300LG__chr17	NM_001168324__chr17__1|NM_001168322__chr17__1|NM_001168323__chr17__1|NM_145273__chr17__1
CD302__chr2	NM_001198763__chr2__1|NM_001198764__chr2__1|NM_014880__chr2__1
CD320__chr19	NM_001165895__chr19__1|NM_016579__chr19__1
CD33__chr19	NM_001177608__chr19__1|NM_001082618__chr19__1|NM_001772__chr19__1
CD34__chr1	NM_001025109__chr1__1|NM_001773__chr1__1
CD36__chr7	NM_001001547__chr7__1|NM_001289911__chr7__1|NM_000072__chr7__1|NM_001001548__chr7__1|NM_001289909__chr7__1|NR_110501__chr7__1|NM_001127443__chr7__1|NM_001127444__chr7__1|NM_001289908__chr7__1
CD37__chr19	NM_001040031__chr19__1|NM_001774__chr19__1
CD38__chr4	NM_001775__chr4__1|NR_132660__chr4__1
CD3D__chr11	NM_000732__chr11__1|NM_001040651__chr11__1
CD3EAP__chr19	NM_001297590__chr19__1|NM_012099__chr19__1
CD3E__chr11	NM_000733__chr11__1
CD3G__chr11	NM_000073__chr11__1
CD40LG__chrX	NM_000074__chrX__1
CD40__chr20	NM_001250__chr20__1|NM_001302753__chr20__1|NM_152854__chr20__1|NR_126502__chr20__1|NM_001322421__chr20__1|NM_001322422__chr20__1|NR_136327__chr20__1
CD44__chr11	NM_001202557__chr11__1|NM_000610__chr11__1|NM_001001389__chr11__1|NM_001001390__chr11__1|NM_001001391__chr11__1|NM_001001392__chr11__1|NM_001202555__chr11__1|NM_001202556__chr11__1
CD46__chr1	NM_002389__chr1__1|NM_153826__chr1__1|NM_172350__chr1__1|NM_172351__chr1__1|NM_172352__chr1__1|NM_172353__chr1__1|NM_172359__chr1__1|NM_172361__chr1__1
CD47__chr3	NM_001777__chr3__1|NM_198793__chr3__1
CD48__chr1	NM_001778__chr1__1|NM_001256030__chr1__1
CD4__chr12	NM_000616__chr12__1|NM_001195014__chr12__1|NM_001195015__chr12__1|NM_001195016__chr12__1|NM_001195017__chr12__1
CD52__chr1	NM_001803__chr1__1
CD53__chr1	NM_001040033__chr1__1|NM_000560__chr1__1|NM_001320638__chr1__1
CD55__chr1	NM_000574__chr1__1|NM_001114752__chr1__1|NM_001300903__chr1__1|NM_001300904__chr1__1|NR_125349__chr1__1|NM_001300902__chr1__1
CD58__chr1	NM_001779__chr1__1|NR_026665__chr1__1|NM_001144822__chr1__1
CD59__chr11	NM_001127223__chr11__1|NM_001127225__chr11__1|NM_001127226__chr11__1|NM_001127227__chr11__1|NM_000611__chr11__1|NM_203329__chr11__1|NM_203330__chr11__1|NM_203331__chr11__1
CD5L__chr1	NM_005894__chr1__1
CD5__chr11	NM_014207__chr11__1
CD63__chr12	NM_001257401__chr12__1|NM_001257400__chr12__1|NM_001257392__chr12__1|NM_001257391__chr12__1|NM_001257390__chr12__1|NM_001267698__chr12__1|NM_001780__chr12__1|NM_001257389__chr12__1
CD68__chr17	NM_001251__chr17__1|NM_001040059__chr17__1
CD69__chr12	NM_001781__chr12__1
CD6__chr11	NM_001254750__chr11__1|NM_001254751__chr11__1|NM_006725__chr11__1|NR_045638__chr11__1
CD70__chr19	NM_001252__chr19__1
CD72__chr9	NM_001782__chr9__1
CD74__chr5	NM_001025158__chr5__1|NM_001025159__chr5__1|NM_004355__chr5__1
CD79A__chr19	NM_001783__chr19__1|NM_021601__chr19__1
CD79B__chr17	NM_000626__chr17__1|NM_001039933__chr17__1|NM_021602__chr17__1
CD7__chr17	NM_006137__chr17__1
CD80__chr3	NM_005191__chr3__1
CD81-AS1__chr11	NR_108080__chr11__1
CD81__chr11	NM_001297649__chr11__1|NM_004356__chr11__1
CD82__chr11	NM_001024844__chr11__1|NM_002231__chr11__1
CD83__chr6	NM_001251901__chr6__1|NM_001040280__chr6__1|NM_004233__chr6__1
CD84__chr1	NM_001184879__chr1__1|NM_001184881__chr1__1|NM_001184882__chr1__1|NM_003874__chr1__1
CD86__chr3	NM_001206924__chr3__1|NM_001206925__chr3__1|NM_175862__chr3__1|NM_006889__chr3__1|NM_176892__chr3__1
CD8A__chr2	NM_001768__chr2__1|NM_171827__chr2__1|NR_027353__chr2__1|NM_001145873__chr2__1
CD8B__chr2	NM_001178100__chr2__1|NM_172101__chr2__1|NM_172102__chr2__1|NM_172213__chr2__1|NM_004931__chr2__1
CD93__chr20	NM_012072__chr20__1
CD96__chr3	NM_001318889__chr3__1|NM_005816__chr3__1|NM_198196__chr3__1|NR_134917__chr3__1
CD99L2__chrX	NM_001184808__chrX__1|NM_001242614__chrX__1|NM_031462__chrX__1|NM_134445__chrX__1|NM_134446__chrX__1
CD99P1__chrX	NR_033381__chrX__1|NR_033380__chrX__1
CD99P1__chrY	NR_033381__chrY__1|NR_033380__chrY__1
CD99__chrX	NM_001277710__chrX__1|NM_001321367__chrX__1|NM_001122898__chrX__1|NM_001321368__chrX__1|NM_001321369__chrX__1|NM_001321370__chrX__1|NM_002414__chrX__1|NR_135623__chrX__1
CD99__chrY	NM_001277710__chrY__1|NM_001321367__chrY__1|NM_001122898__chrY__1|NM_001321368__chrY__1|NM_001321369__chrY__1|NM_001321370__chrY__1|NM_002414__chrY__1|NR_135623__chrY__1
CD9__chr12	NM_001769__chr12__1
CDADC1__chr13	NM_001193478__chr13__1|NM_030911__chr13__1|NR_036439__chr13__1
CDAN1__chr15	NM_138477__chr15__1
CDA__chr1	NM_001785__chr1__1
CDC123__chr10	NM_006023__chr10__1
CDC14A__chr1	NM_001319211__chr1__1|NM_033313__chr1__1|NM_001319212__chr1__1|NM_033312__chr1__1|NM_001319210__chr1__1|NM_003672__chr1__1
CDC14B__chr9	NM_003671__chr9__1|NM_033331__chr9__1|NM_001077181__chr9__1
CDC14C__chr7	NR_003595__chr7__1
CDC16__chr13	NM_001078645__chr13__1|NM_001318517__chr13__1|NM_001318518__chr13__1|NM_003903__chr13__1
CDC20B__chr5	NM_001145734__chr5__1|NM_001170402__chr5__1|NM_152623__chr5__1
CDC20__chr1	NM_001255__chr1__1
CDC23__chr5	NM_004661__chr5__1
CDC25A__chr3	NM_001789__chr3__1|NM_201567__chr3__1
CDC25B__chr20	NM_001287516__chr20__1|NM_001287517__chr20__1|NM_001287518__chr20__1|NM_001287519__chr20__1|NM_001287520__chr20__1|NM_001287522__chr20__1|NM_004358__chr20__1|NM_021872__chr20__1|NM_021873__chr20__1|NM_001287524__chr20__1|NR_136336__chr20__1|NR_136335__chr20__1
CDC25C__chr5	NM_001287582__chr5__1|NM_001790__chr5__1|NM_022809__chr5__1|NM_001287583__chr5__1|NM_001318098__chr5__1
CDC26__chr9	NM_139286__chr9__1
CDC27__chr17	NM_001114091__chr17__1|NM_001256__chr17__1|NM_001293089__chr17__1|NM_001293091__chr17__1
CDC34__chr19	NM_004359__chr19__1
CDC37L1-AS1__chr9	NR_121597__chr9__1|NR_121598__chr9__1
CDC37L1__chr9	NM_017913__chr9__1
CDC37__chr19	NM_007065__chr19__1
CDC40__chr6	NM_015891__chr6__1
CDC42BPA__chr1	NM_003607__chr1__1|NM_014826__chr1__1
CDC42BPB__chr14	NM_006035__chr14__1
CDC42BPG__chr11	NM_017525__chr11__1
CDC42EP1__chr22	NM_152243__chr22__1
CDC42EP2__chr11	NM_006779__chr11__1
CDC42EP3__chr2	NM_001270437__chr2__1|NM_001270438__chr2__1|NM_006449__chr2__1|NM_001270436__chr2__1
CDC42EP4__chr17	NM_012121__chr17__1
CDC42EP5__chr19	NM_145057__chr19__1
CDC42EP5__chr19_GL949746v1_alt	NM_145057__chr19_GL949746v1_alt__1
CDC42EP5__chr19_GL949752v1_alt	NM_145057__chr19_GL949752v1_alt__1
CDC42EP5__chr19_KI270938v1_alt	NM_145057__chr19_KI270938v1_alt__1
CDC42P3__chr8	NR_102426__chr8__1
CDC42SE1__chr1	NM_001038707__chr1__1|NM_020239__chr1__1
CDC42SE2__chr5	NM_001038702__chr5__1|NM_020240__chr5__1
CDC42__chr1	NM_044472__chr1__1|NM_001039802__chr1__1|NM_001791__chr1__1
CDC45__chr22	NM_001178010__chr22__1|NM_001178011__chr22__1|NM_003504__chr22__1
CDC5L__chr6	NM_001253__chr6__1
CDC6__chr17	NM_001254__chr17__1
CDC73__chr1	NM_024529__chr1__1
CDC7__chr1	NM_001134419__chr1__1|NM_003503__chr1__1|NM_001134420__chr1__1
CDCA2__chr8	NM_001317906__chr8__1|NM_001317907__chr8__1|NM_152562__chr8__1
CDCA3__chr12	NM_001297603__chr12__1|NM_001297602__chr12__1|NM_001297604__chr12__1|NM_031299__chr12__1|NR_123727__chr12__1
CDCA4__chr14	NM_017955__chr14__1|NM_145701__chr14__1
CDCA5__chr11	NM_080668__chr11__1
CDCA7L__chr7	NM_001127370__chr7__1|NM_001127371__chr7__1|NM_018719__chr7__1
CDCA7__chr2	NM_031942__chr2__1|NM_145810__chr2__1
CDCA8__chr1	NM_001256875__chr1__1|NM_018101__chr1__1
CDCP1__chr3	NM_022842__chr3__1|NM_178181__chr3__1
CDCP2__chr1	NM_201546__chr1__1
CDH10__chr5	NM_001317224__chr5__1|NM_001317222__chr5__1|NM_006727__chr5__1
CDH11__chr16	NM_001308392__chr16__1|NM_001797__chr16__1
CDH12__chr5	NM_001317227__chr5__1|NM_001317228__chr5__1|NM_004061__chr5__1
CDH13__chr16	NM_001220491__chr16__1|NM_001220492__chr16__1|NM_001220488__chr16__1|NM_001220489__chr16__1|NM_001220490__chr16__1|NM_001257__chr16__1
CDH15__chr16	NM_004933__chr16__1
CDH16__chr16	NM_001204744__chr16__1|NM_001204745__chr16__1|NM_001204746__chr16__1|NM_004062__chr16__1
CDH17__chr8	NM_004063__chr8__1|NM_001144663__chr8__1
CDH18__chr5	NM_001167667__chr5__1|NM_004934__chr5__1|NM_001291956__chr5__1|NM_001291957__chr5__1
CDH19__chr18	NM_001271028__chr18__1|NM_021153__chr18__1|NR_073130__chr18__1
CDH1__chr16	NM_001317184__chr16__1|NM_001317185__chr16__1|NM_001317186__chr16__1|NM_004360__chr16__1
CDH20__chr18	NM_031891__chr18__1
CDH22__chr20	NM_021248__chr20__1
CDH23__chr10	NM_001171932__chr10__1|NM_052836__chr10__1|NM_001171931__chr10__1|NM_001171930__chr10__1|NM_022124__chr10__1|NM_001171933__chr10__1|NM_001171934__chr10__1|NM_001171935__chr10__1|NM_001171936__chr10__1
